n_nodes,lambda,repeat,RxPackets,TxCount
9,0.005,1,14,26
9,0.005,2,10,18
9,0.005,3,15,28
9,0.01,1,14,26
9,0.01,2,13,35
9,0.01,3,22,44
25,0.005,1,14,26
25,0.005,2,20,39
25,0.005,3,26,51
25,0.01,1,24,46
25,0.01,2,40,79
25,0.01,3,38,78
64,0.005,1,59,127
64,0.005,2,61,145
64,0.005,3,45,96
64,0.01,1,108,265
64,0.01,2,101,248
64,0.01,3,95,218
144,0.005,1,122,329
144,0.005,2,156,424
144,0.005,3,120,306
144,0.01,1,222,809
144,0.01,2,189,1137
144,0.01,3,210,904
289,0.005,1,200,847
289,0.005,2,72,4765
289,0.005,3,149,2452
